"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","5","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","12","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","5","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","5","1","0.000000","0","0"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","145","1","0.000000","0","0"
"/Game/FPS/Environment/Materials/M_Background_2.M_Background_2","0","0","23","1","0.000000","0","0"
"/Game/FPS/Weapons/Materials/M_WeaponBase.M_WeaponBase","0","0","41","1","0.000000","0","0"
"/Game/FPS/Environment/Materials/M_AmmoBox.M_AmmoBox","0","0","14","1","0.000000","0","0"
"/Game/FPS/Environment/Materials/M_Base.M_Base","0","0","51","1","0.000000","0","0"
"/Game/FPS/Environment/Materials/M_Background.M_Background","0","0","23","1","0.000000","0","0"
"/Game/Factory/Materials/Master/M_Glass_01.M_Glass_01","0","0","42","1","0.000000","0","0"
"/Game/TankCleaningCenter/Materials/Master/M_Glass_01.M_Glass_01","0","0","23","1","0.000000","0","0"
"/Game/FPS/Environment/Materials/M_ConquesDecal.M_ConquesDecal","0","0","23","1","0.000000","0","0"
"/Game/FPS/Environment/Materials/M_BaseColor.M_BaseColor","0","0","57","1","0.000000","0","0"
"/Game/FPS/Effects/WeaponEffects/Explosion/m_flare_01.m_flare_01","0","0","20","1","0.000000","0","0"
"/Game/FPS/Environment/Materials/M_EmissiveBase.M_EmissiveBase","0","0","23","1","0.000000","0","0"
"/Engine/EditorMeshes/ColorCalibrator/M_GreyBall.M_GreyBall","0","0","37","1","0.000000","0","0"
"/Game/FPS/Environment/Materials/M_Glass.M_Glass","0","0","61","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","53","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","37","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","37","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","37","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","28","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","46","2","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","9","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","56","6","0.000000","0","5"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","93","1","0.000000","0","0"
"/Game/FPS/Effects/Materials/M_BlockOut.M_BlockOut","0","0","23","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","139","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","679","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","29","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","145","1","0.000000","0","0"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","0","14","1","0.000000","0","0"
"/Game/KB3D/KB3D_Military/Materials/Master/KB3D_MIL_MetalC.KB3D_MIL_MetalC","0","0","46","1","0.000000","0","0"
"/Game/Factory/Materials/Master/M_Scotchtape_01.M_Scotchtape_01","0","0","29","1","0.000000","0","0"
"/Game/Factory/Materials/Master/M_Decal_01_Diff.M_Decal_01_Diff","0","0","64","2","0.000000","0","64"
"/Game/Factory/Materials/Master/M_Decal_01_Nrm.M_Decal_01_Nrm","0","0","64","2","0.000000","0","32"
"/Game/Factory/Materials/Master/M_GoodsSet_Cloth.M_GoodsSet_Cloth","0","0","23","1","0.000000","0","0"
"/Game/TankCleaningCenter/Materials/Master/M_Win_Grid_01.M_Win_Grid_01","0","0","42","1","0.000000","0","0"
"/Game/AE_Battle_Royale_Props/Materials/M_Vest_Body.M_Vest_Body","0","0","23","1","0.000000","0","0"
"/Game/TankCleaningCenter/Materials/Master/M_Metal_Floor_01.M_Metal_Floor_01","0","0","42","1","0.000000","0","0"
"/Game/Factory/Materials/Master/M_Ground_Trash_01.M_Ground_Trash_01","0","0","42","1","0.000000","0","0"
"/Game/Rooftop_props_collection/Materials/M_alum.M_alum","0","0","23","1","0.000000","0","0"
"/Game/Rooftop_props_collection/Materials/M_alum2.M_alum2","0","0","23","1","0.000000","0","0"
"/Game/Rooftop_props_collection/Materials/M_Cloth2.M_Cloth2","0","0","23","1","0.000000","0","0"
"/Game/Rooftop_props_collection/Materials/M_metal2.M_metal2","0","0","23","1","0.000000","0","0"
"/Game/Rooftop_props_collection/Materials/M_metal3.M_metal3","0","0","23","1","0.000000","0","0"
"/Game/Rooftop_props_collection/Materials/M_plastic.M_plastic","0","0","23","1","0.000000","0","0"
"/Game/Factory/Materials/Master/M_Chain_Fence_01.M_Chain_Fence_01","0","0","42","1","0.000000","0","42"
"/Game/Factory/Materials/Master/M_Vista_Mountains_01.M_Vista_Mountains_01","0","0","29","1","0.000000","0","0"
